Id,Banned hero
174,Rumble
174,TwistedFate
174,Kalista
174,Ryze
174,Sivir
174,Ahri
175,TwistedFate
175,KogMaw
175,LeeSin
175,Ryze
175,Kalista
175,Fizz
176,Azir
176,Annie
176,Kalista
176,Ryze
176,Sivir
176,Fizz
177,Rumble
177,RekSai
177,Kalista
177,Ryze
177,Nidalee
177,Vladimir
178,Alistar
178,Annie
178,Kalista
178,Ryze
178,Nidalee
178,Maokai
179,Nidalee
179,Tristana
179,Braum
179,Ryze
179,Kalista
179,Sivir
180,Rumble
180,Kalista
180,Maokai
180,Ryze
180,Azir
180,Nidalee
181,Evelynn
181,Zac
181,Vladimir
181,Ryze
181,Nidalee
181,Kalista
182,Nidalee
182,Shen
182,Alistar
182,Kalista
182,Ryze
182,RekSai
183,Karma
183,Nidalee
183,Sivir
183,Ryze
183,Kalista
183,Azir
184,Rumble
184,Thresh
184,Kalista
184,Ryze
184,Shen
184,Azir
185,Olaf
185,Gragas
185,Alistar
185,Ryze
185,Azir
185,Annie
186,Morgana
186,Gragas
186,Zed
186,Vi
186,Kalista
186,Lulu
187,TwistedFate
187,Vi
187,Kalista
187,Morgana
187,Urgot
187,Zed
188,Morgana
188,Urgot
188,Lulu
188,Kalista
188,Vi
188,TwistedFate
189,Nunu
189,Sejuani
189,Urgot
189,Leona
189,Rumble
189,TwistedFate
190,TwistedFate
190,Yasuo
190,LeeSin
190,Nunu
190,Sejuani
190,Urgot
191,TwistedFate
191,Yasuo
191,LeeSin
191,Urgot
191,Fizz
191,Rumble
192,TwistedFate
192,LeeSin
192,Hecarim
192,Urgot
192,Fizz
192,Rumble
193,Vladimir
193,Lulu
193,Urgot
193,Nidalee
193,Kennen
193,Rumble
194,Nidalee
194,Kennen
194,Rumble
194,Lulu
194,Vladimir
194,Urgot
195,Vladimir
195,Urgot
195,Azir
195,Nidalee
195,Kennen
195,Rumble
196,Nidalee
196,Kennen
196,Rumble
196,Vladimir
196,Azir
196,Hecarim
197,Vladimir
197,Azir
197,Urgot
197,Nidalee
197,Rumble
197,Corki
198,Rumble
198,Morgana
198,TwistedFate
198,Maokai
198,Sejuani
198,Hecarim
199,Sejuani
199,Cassiopeia
199,Sivir
199,Rumble
199,Morgana
199,Hecarim
200,Sejuani
200,Cassiopeia
200,Lulu
200,Rumble
200,Morgana
200,Hecarim
201,Sejuani
201,Maokai
201,Thresh
201,Rumble
201,Morgana
201,Hecarim
202,Maokai
202,Sion
202,Urgot
202,Rumble
202,Hecarim
202,Morgana
203,Orianna
203,Gnar
203,LeeSin
203,Gragas
203,Hecarim
203,Urgot
204,Orianna
204,Gnar
204,LeeSin
204,Urgot
204,Sejuani
204,Rumble
205,Orianna
205,LeeSin
205,Gnar
205,Rumble
205,Urgot
205,Sejuani
206,Sion
206,Maokai
206,Urgot
206,Orianna
206,Gragas
206,Rumble
207,Rumble
207,Vladimir
207,Nautilus
207,Thresh
207,Hecarim
207,Janna
208,Thresh
208,Janna
208,Urgot
208,Rumble
208,Hecarim
208,Nautilus
209,Rumble
209,Vladimir
209,Nautilus
209,Thresh
209,Hecarim
209,Janna
210,Thresh
210,Urgot
210,Gragas
210,Rumble
210,Hecarim
210,Sejuani
211,Ahri
211,Kalista
211,RekSai
211,Maokai
211,Nidalee
211,LeeSin
212,Maokai
212,LeeSin
212,Alistar
212,Kalista
212,Ahri
212,TwistedFate
213,Kalista
213,Ahri
213,TwistedFate
213,Maokai
213,LeeSin
213,Nidalee
214,Diana
214,Ahri
214,Kalista
214,Rumble
214,Janna
214,Alistar
215,Diana
215,Ahri
215,Kalista
215,Rumble
215,Janna
215,Alistar
216,Rumble
216,Shen
216,Tristana
216,Diana
216,Kalista
216,Braum
217,Kalista
217,Olaf
217,Lulu
217,Rumble
